"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Study","feature","breaks","stars"
6914.56156518012,3.13088700604487,0.591781780916257,5.29061067273364,1.21908625724772e-07,0.0112568660521494,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","Jacobs et al.","Stool","[3,4)","***"
56.1848733300934,-3.17152025591798,0.509034098037451,-6.23046720867143,4.65046166307592e-10,0.00205154604246693,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","Gevers et al.","Biopsy","[-4,-3)","***"
7.23633632540483,-4.15751803511068,1.39566184088295,-2.97888637012564,0.00289298040244221,0.0151456032833739,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","Forbes et al.","Stool","[-30,-4)","**"
3.45446998514563,19.7712695191812,2.73877152596098,7.21902843364923,5.23603076805365e-13,2.32130697383712e-11,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","Mottawea et al.","Lavage","[4,30)","***"
608.762599766244,-3.31554361402181,0.883943019231091,-3.75085672027353,0.000176231388177453,0.130813253834207,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnobacterium","Jacobs et al.","Stool","[-4,-3)","***"
212.969218700242,4.06483071024733,0.828950526551668,4.90358661952544,9.41024179635971e-07,2.79170506625338e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Forbes et al.","Stool","[4,30)","***"
2663.75683435064,1.62211372759328,0.422574855182023,3.83864233212494,0.000123716491478422,0.122406299129159,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Jacobs et al.","Stool","[1,2)","***"
463.590285019907,-0.91617138177472,0.244821244717389,-3.74220539084468,0.000182412326587141,0.118940780169478,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Gevers et al.","Biopsy","[-1,0)","***"
2223.76527562457,-2.09312066426835,0.604413849331832,-3.46305874126189,0.000534071787111424,0.00710315476858194,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Mottawea et al.","Lavage","[-3,-2)","***"
16.0439061694214,-3.02408034377748,0.960174025896033,-3.1495127572894,0.00163542968032952,0.0111964031961021,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Forbes et al.","Stool","[-4,-3)","**"
4791.98483149442,-1.92262708001303,0.559512474538825,-3.43625418110247,0.000589817325961422,0.188611862386069,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Jacobs et al.","Stool","[-2,-1)","***"
14.8802632636973,-4.3808178783621,1.5144225522597,-2.892731537724,0.00381907576204972,0.0977471273509323,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Yamada et al.","Stool","[-30,-4)","**"
44.6495455706899,-2.15754043667133,0.876343256471226,-2.46198098831628,0.0138171990698479,0.174198399135437,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","Lloyd-Price et al.","Biopsy","[-3,-2)","*"
